Ejecucion,Metodo,tiempo_segundos
1,Tiempo de inscersión de,0.0252411
2,Tiempo de inscersión de,0.0254015
3,Tiempo de inscersión de,0.0257287
4,Tiempo de inscersión de,0.0253306
5,Tiempo de inscersión de,0.0248674
6,Tiempo de inscersión de,0.0250086
7,Tiempo de inscersión de,0.0252784
8,Tiempo de inscersión de,0.0247322
9,Tiempo de inscersión de,0.0252651
10,Tiempo de inscersión de,0.0253752
11,Tiempo de inscersión de,0.0252195
12,Tiempo de inscersión de,0.0250833
13,Tiempo de inscersión de,0.0253658
14,Tiempo de inscersión de,0.0255483
15,Tiempo de inscersión de,0.0255343
16,Tiempo de inscersión de,0.0252622
17,Tiempo de inscersión de,0.0247714
18,Tiempo de inscersión de,0.0253752
19,Tiempo de inscersión de,0.0252371
20,Tiempo de inscersión de,0.0250246
