Ejecucion,Metodo,tiempo_segundos
1,Tiempo inscersión,0.012963
2,Tiempo inscersión,0.0128845
3,Tiempo inscersión,0.0124588
4,Tiempo inscersión,0.0131983
5,Tiempo inscersión,0.0130023
6,Tiempo inscersión,0.0130656
7,Tiempo inscersión,0.0129213
8,Tiempo inscersión,0.0136919
9,Tiempo inscersión,0.0133176
10,Tiempo inscersión,0.0128307
11,Tiempo inscersión,0.0137176
12,Tiempo inscersión,0.0129591
13,Tiempo inscersión,0.0122675
14,Tiempo inscersión,0.0127615
15,Tiempo inscersión,0.0129889
16,Tiempo inscersión,0.0130744
17,Tiempo inscersión,0.0139275
18,Tiempo inscersión,0.013386
19,Tiempo inscersión,0.0135034
20,Tiempo inscersión,0.0134921
