Ejecucion,Metodo,tiempo_segundos
1,inscersión,0.00640916
2,inscersión,0.00648914
3,inscersión,0.00662776
4,inscersión,0.00658001
5,inscersión,0.0064508
6,inscersión,0.00982363
7,inscersión,0.00668959
8,inscersión,0.00630464
9,inscersión,0.00677542
10,inscersión,0.00638449
11,inscersión,0.00659519
12,inscersión,0.00643205
13,inscersión,0.00649364
14,inscersión,0.00653487
15,inscersión,0.00649355
16,inscersión,0.0064534
17,inscersión,0.00682678
18,inscersión,0.00699277
19,inscersión,0.00688613
20,inscersión,0.00731876
