ejecucion;metodo;tiempo_segundos
1;insertion;0.0446671
2;insertion;0.0485286
3;insertion;0.0466507
4;insertion;0.0488405
5;insertion;0.0483989
6;insertion;0.0467734
7;insertion;0.0468829
8;insertion;0.0463347
9;insertion;0.0470533
10;insertion;0.047069
11;insertion;0.0470162
12;insertion;0.0466546
13;insertion;0.0469837
14;insertion;0.0456173
15;insertion;0.0465096
16;insertion;0.0474519
17;insertion;0.0462539
18;insertion;0.0463656
19;insertion;0.0463763
20;insertion;0.0466617
